Ticker,Nome,Preço,Variação %,Volume,Volume Rel,Valor de Mercado,P/L,Crescimento EPS dil.,Div. Yield %,Setor
AALR3,ALLIARNMD,"5,59BRL","+7,50%","166,8 K","0,58","851,18 MBRL",—,"+43,53%","0,00%",Serviços de Saúde
ABEV3,AMBEV S/A,"14,00BRL","+0,79%","56,06 M","1,37","220,6 BBRL","15,34","−0,28%","5,42%",Consumo de Não Duráveis
ADMF3,CIABRASFNMD,"39,990BRL","−0,02%",700,—,—,—,—,—,Financeiro
AERI3,AERISNMD,"3,870BRL","+3,48%","212,1 K","0,38","240,41 MBRL",—,"−462,74%","0,00%",Produtor Manufatureiro
AFLT3,AFLUENTEON EDD,"6,67BRL","−4,11%",839,"1,60","441,59 MBRL","12,37","+18,52%","9,56%",Serviços Públicos
AGRO3,BRASILAGRONMD,"21,18BRL","−2,98%","408,3 K","1,75","2,1 BBRL","7,55","+5,77%","7,35%",Industrias de Processamento
AGXY3,AGROGALAXYNMD,"0,530BRL","+1,92%","294,8 K","0,42","133,11 MBRL",—,"−625,31%","0,00%",Serviços de Distribuição
AHEB3,SPTURIS,"45,00BRL","0,00%",100,"0,31","385,56 MBRL","2,56","+74,84%","0,00%",Serviços Comerciais
ALLD3,ALLIEDNMD,"6,800BRL","−0,15%","31,3 K","0,53","642,02 MBRL","4,50","+17,31%","34,81%",Serviços de Tecnologia
ALOS3,ALLOSNMD,"20,21BRL","+1,25%","4,09 M","0,93","10,96 BBRL","15,30","−86,03%","8,46%",Financeiro
ALPA3,ALPARGATASN,"7,50BRL","0,00%","3,3 K","0,30","4,96 BBRL","47,62",—,"1,29%",Consumo de Não Duráveis
ALPK3,ESTAPARNMD,"2,840BRL","0,00%","52,1 K","0,60","616,35 MBRL",—,"+79,94%","0,00%",Consumo de Serviços
ALUP3,ALUPAREDB,"9,87BRL","−1,49%","13,5 K","1,25","9,44 BBRL","8,97","+55,89%","4,48%",Serviços Públicos
AMAR3,LOJAS MARISAON,"1,31BRL","+1,55%","222,4 K","0,49","670,25 MBRL",—,"+87,52%","0,00%",Comércio de Varejo
AMBP3,AMBIPARNMD,"135,25BRL","−5,47%","123,4 K","1,53","22,59 BBRL",—,"−139,34%","0,00%",Serviços Comerciais
AMER3,AMERICANASNMD,"5,80BRL","−0,17%","1,72 M","0,38","1,16 BBRL",—,"+57,91%","0,00%",Comércio de Varejo
AMOB3,AUTOMOBNMD,"0,250BRL","+4,17%","6,33 M","0,60","473,58 MBRL",—,"−206,69%","0,00%",Comércio de Varejo
ANIM3,ANIMANMD,"3,10BRL","+17,87%","25,62 M","1,87","1,24 BBRL","13,78",—,"15,20%",Miscelânea
ARML3,ARMACEJ,"4,400BRL","−0,45%","1,41 M","0,74","1,52 BBRL","9,03","+3,26%","8,72%",Financeiro
ASAI3,ASSAINMD,"8,260BRL","−0,48%","11,14 M","0,72","11,17 BBRL","14,56","+8,14%","1,12%",Comércio de Varejo
ATED3,ATOM EDUC,"1,070BRL","−2,73%","12,8 K","1,43",—,—,—,—,Serviços de Tecnologia
ATMP3,ATMASA,"1,22BRL","+7,02%","5,4 K","0,51","32,58 MBRL",—,"−149,44%","0,00%",Serviços Comerciais
AURE3,AURENNMD,"7,900BRL","+1,15%","4,09 M","0,75","8,3 BBRL","29,63",—,"5,06%",Serviços Públicos
AVLL3,ALPHAVILLENMD,"2,080BRL","+4,00%",2 K,"0,20","406,29 MBRL","3,92",—,"0,00%",Financeiro
AZEV3,AZEVEDO,"0,72BRL","+2,86%","1,2 M","0,58","489,31 MBRL",—,"−29,31%","0,00%",Serviços Industriais
AZTE3,AZT ENERGIA,"0,880BRL","0,00%","1,61 M","0,52",—,—,—,—,Serviços Industriais
AZZA3,AZZAS,"27,60BRL","+1,40%",2 M,"0,95","5,69 BBRL","9,23","−14,96%","4,04%",Consumo de Não Duráveis
B3SA3,B,"12,18BRL","+1,00%","16,6 M","0,37","61,86 BBRL","14,77","+14,96%","2,24%",Financeiro
BALM3,BAUMER,"16,45BRL","+0,30%",100,"0,30","146,76 MBRL","5,09","+100,56%","3,71%",Tecnologia em Saúde
BAZA3,AMAZONIA,"90,99BRL","+0,02%","3,4 K","1,55","5,1 BBRL","4,51","−15,84%","7,28%",Financeiro
BBAS3,BRASILNMD,"27,43BRL","−0,80%","17,34 M","0,88","156,87 BBRL","8,54","−38,59%","7,90%",Financeiro
BBDC3,BRADESCON,"11,42BRL","+0,09%","6,99 M","0,75","128,4 BBRL","7,02","+21,54%","2,88%",Financeiro
BBSE3,BBSEGURIDADEON,"40,74BRL","+0,72%","2,09 M","0,38","81,35 BBRL","9,13","+11,91%","9,09%",Financeiro
BDLL3,BARDELLA,"9,80BRL","+4,81%",100,"0,22","15,38 MBRL",—,"−146,86%","0,00%",Produtor Manufatureiro
BEEF3,MINERVANMD,"7,41BRL","+2,92%","16,4 M","0,94","4,33 BBRL",—,"−468,96%","0,00%",Serviços de Distribuição
BEES3,BANESTES,"8,46BRL","+1,81%",13 K,"0,86","2,69 BBRL","6,24","+32,37%","4,85%",Financeiro
BGIP3,BANESEEJD,"26,80BRL","+1,48%",103,"0,40","587,19 MBRL","2,55","+9.346,76%","9,22%",Financeiro
BHIA3,CASAS BAHIANMD,"5,780BRL","−3,18%","5,31 M","0,55","547,87 MBRL",—,"+68,96%","0,00%",Comércio de Varejo
BIED3,BIOMA EDUCMAD,"3,35BRL","−2,90%","6,1 K","0,98","91,56 MBRL",—,"−943,98%","0,00%",Consumo de Serviços
BIOM3,BIOMMMAD,"9,75BRL","−5,34%","23,8 K","1,43","1,24 BBRL",—,"+34,27%","0,00%",Tecnologia em Saúde
BLAU3,BLAUNMD,"12,660BRL","−2,91%","586,1 K","1,46","2,27 BBRL","10,36","−12,88%","3,78%",Tecnologia em Saúde
BMEB3,MERCANTILN,"30,00BRL","+0,13%",100,"0,13","3,28 BBRL","5,99","+28,21%","5,73%",Financeiro
BMIN3,MERC INVEST,"17,51BRL","−12,45%",100,"0,24","83,45 MBRL","11,76","−1,08%","2,02%",Financeiro
BMKS3,BIC MONARK,"380,00BRL","−1,17%",88,"1,80","172,81 MBRL","11,49","−15,68%","10,33%",Consumo Duráveis
BMOB3,BEMOBI TECHNMD,"17,300BRL","+1,76%","293,2 K","0,64","1,45 BBRL","12,44","+40,11%","3,72%",Serviços de Tecnologia
BNBR3,NORD BRASIL,"96,01BRL","+0,32%",200,"1,00","9,48 BBRL","3,81","+3,77%","6,32%",Financeiro
BPAC3,BTGP BANCON,"19,15BRL","+1,00%","5,7 K","0,42","117,02 BBRL","10,17","−9,62%","1,27%",Financeiro
BRAP3,BRADESPARN,"16,40BRL","+2,24%","81,5 K","0,93","6,6 BBRL","5,41","−37,14%","7,26%",Financeiro
BRAV3,BRAVANMD,"18,310BRL","+0,99%","9,08 M","0,42","8,5 BBRL",—,"−234,20%","2,10%",Minerais Energéticos
BRFS3,BRF SANMD,"21,15BRL","+2,27%","7,68 M","1,22","35,29 BBRL","10,90",—,"3,33%",Consumo de Não Duráveis
BRKM3,BRASKEMN,"10,31BRL","+0,19%","11,9 K","0,45","8,2 BBRL",—,"−147,19%","0,00%",Industrias de Processamento
BRSR3,BANRISULN,"12,05BRL","+2,82%","3,1 K","0,66","4,65 BBRL","6,78","−28,12%","6,42%",Financeiro
BRST3,BRISANETNMD,"2,620BRL","+0,77%","193,7 K","0,90","1,15 BBRL","19,18","−62,79%","4,90%",Comunicações
BSLI3,BRB BANCOEJD,"9,00BRL","−0,22%","12,2 K","0,47","4,21 BBRL",—,—,"0,89%",Financeiro
CAMB3,CAMBUCI,"9,63BRL","+1,16%","8,2 K","0,19","407,11 MBRL","5,28","+6,41%","6,69%",Consumo de Não Duráveis
CAML3,CAMILNMD,"4,09BRL","+1,24%","1,79 M","0,80","1,4 BBRL","4,14","+29,73%","7,17%",Industrias de Processamento
CASH3,MELIUZNMD,"3,880BRL","−0,51%","2,09 M","1,13","337,85 MBRL",—,"+83,33%","0,00%",Serviços Comerciais
CBAV3,CBANMD,"3,930BRL","+1,81%","5,67 M","0,61","2,56 BBRL",—,"+80,75%","0,00%",Minerais Não-Energéticos
CCRO3,CCR SANMD,"12,52BRL","+1,54%","7,07 M","0,43","25,29 BBRL","20,25","−26,73%","3,33%",Transportes
CEAB3,CEA MODASNMD,"12,72BRL","+3,00%","2,83 M","0,76","3,92 BBRL","8,66","+19.225,00%","2,30%",Comércio de Varejo
CEBR3,CEB,"19,66BRL","+3,47%","9,2 K","0,78","1,46 BBRL","8,13","−5,06%","7,31%",Serviços Públicos
CEDO3,CEDRON,"27,00BRL","+0,04%",100,"0,14","242,78 MBRL","2,44","+37,56%","0,00%",Industrias de Processamento
CEEB3,COELBAEDD,"37,97BRL","+0,61%",300,"0,42","6,75 BBRL","5,50","−1,69%","7,43%",Serviços Públicos
CEED3,CEEE,"11,00BRL","+1,57%",500,"1,67","750,64 MBRL",—,"+2,81%","0,00%",Serviços Públicos
CEGR3,CEG,"96,72BRL","+20,00%",100,"0,43","23,93 BBRL","33,26","+20,53%","1,90%",Serviços Públicos
CGAS3,COMGASEJD,"124,40BRL","+0,02%",201,"0,91","16,7 BBRL","9,20","+27,32%","16,12%",Serviços Públicos
CGRA3,GRAZZIOTIN,"27,05BRL","0,00%","1,2 K","1,26","558,99 MBRL","5,37","+3,69%","8,44%",Comércio de Varejo
CLSC3,CELESCN,"75,00BRL","−0,01%",300,"1,97","3,05 BBRL","4,04","+28,50%","10,59%",Serviços Públicos
CMIG3,CEMIGN,"14,52BRL","+1,11%","145,4 K","1,01","33,6 BBRL","5,84","+23,47%","12,78%",Serviços Públicos
CMIN3,CSNMINERACAOON,"5,650BRL","−1,22%","6,84 M","0,84","30,82 BBRL","6,81","+27,54%","13,43%",Minerais Não-Energéticos
